id,text,label
1,お父さんが中学生のころ、アメリカにピッチャーでありながらホームランを打っちゃう選手がいたんだよ,0
2,新しい家を建てるときに知っておきたい10の注意点,1
3,ダイエットを始めてすぐの時は水中ウォーキングでもけっこう疲れてしまう,0
4,健康維持のために、晴れている日は電車を使わずに自転車で出社しています,0
5,枯山水は、日本庭園の様式のひとつです,2
6,海に来たのは久々だわ,2
7,今週末は札幌近郊で山登りをするつもりだ,0
8,世界遺産の近くで売っていた、良くわからないお土産を友達にあげる,2
9,木製の机を購入する,1
10,アマゾンのジャングルを冒険する,2
11,毎週ジムで筋力トレーニングをする,0
12,バレーの練習試合で熱い展開になった,0
13,最近テレビでボルダリングを見て興味があるんだけど、どうやってあんなにすいすいと壁を登っていけるのか意味が分からなかった,0
14,旅行先で撮ったアトラクションの動画が動画サイトで好評だ,2
15,登山の醍醐味は、リスや鹿などの普段見ないような動物を見て癒された気分になることだと思っています,0
16,自転車で隣町に住んでいる友達の家まで遊びに行く,0
17,今の会社に入ってから、出張の回数は大分少なくなった,2
18,旅の醍醐味はその地域独自の文化に触れることだ,2
19,趣味はポタリングで、次はいつもよりちょっとだけ遠くまで行こうと思っています,0
20,バスは地域によって乗り方が違うので、事前に調べておいたほうがいいかも,2
21,10月にイタリアに遊びに行く,2
22,次の日曜日には、札幌近郊の山でも登ろうかと思っている,0
23,雪で庭が真っ白になった,1
24,フェリーで無人島に向かう,2
25,ベッドが壊れてしまったので、週末に買い替えないといけない,1
26,お庭でバーベキューするので良かったら来ませんか,1
27,高校は陸上漬けの毎日だった,0
28,近くの博物館が期間限定でやっている展示資料に興味がわいたので来週見てこようと思う,2
29,窓からでなくちゃんと玄関から出入りしてください,1
30,楽しげな曲を聴くと、ついついどういう風に踊ればいいか考えてしまう,0
31,初めてフェリーに乗ったけど、思ったより酔わないね,2
32,ロフトベッドで収納スペースを確保する,1
33,水道水はあまり飲みたくないので、キッチンにウォーターサーバーを設置している,1
34,冬に日本海を運行しているフェリーに乗るのは、やめておいたほうがいいよ,2
35,有名な温泉街までは、最寄り駅からシャトルバスが出ています,2
36,チェコで飲んだビールは今でも印象に残っている,2
37,この前の健康診断で太りすぎとの診断をされたので、今はジムで泳いだり筋肉を鍛えたりしています,0
38,お風呂はもう少し大きめに設計してもらえませんか,1
39,海外旅行するときは、出来るだけその国の世界遺産を一つは見るようにしている,2
40,健康的にダイエットするためには、運動も大切だと思います,0
41,オーストラリアで珍しい生物を見て回るツアーに参加した,2
42,家具の色はあまりこだわっていない,1
43,南向きの部屋が希望です,1
44,夜景の写真はうまく撮るのが難しい,2
